BACIA,AMBIENTE,ANO,VOLUME PETRÓLEO,VAZÃO PETRÓLEO,VOLUME GÁS,VAZÃO GÁS,VOLUME GÁS SEM CO2,VAZÃO GÁS SEM CO2,VOLUME PETRÓLEO EQUIVALENTE,VAZÃO PETRÓLEO EQUIVALENTE,VOLUME INJEÇÃO ÁGUA,VAZÃO INJEÇÃO ÁGUA,VOLUME INJEÇÃO GÁS,VAZÃO INJEÇÃO GÁS,PERCENTUAL INJEÇÃO TOTAL,VOLUME INJEÇÃO GÁS SEM CO2,VAZÃO INJEÇAÕ GÁS SEM CO2,PERCENTUAL INJEÇÃO SEM CO2,VOLUME QUEIMA,VAZÃO QUEIMA
Alagoas,MAR,2025,"3.418,23","9,37","51.556,81","141,25","51.556,81","141,25","54.975,04","150,62","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,TERRA,2025,"193.002,80","528,77","615.521,77","1.686,36","612.427,68","1.677,88","808.524,57","2.215,14","727.641,27","1.993,54","0,00","0,00","0,00","0,00","0,00","0,00","8.988,43","24,63"
Alagoas,MAR,2026,"3.145,97","8,62","47.783,69","130,91","47.783,69","130,91","50.929,66","139,53","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,TERRA,2026,"247.457,62","677,97","807.852,36","2.213,29","803.843,07","2.202,31","1.055.309,98","2.891,26","817.208,94","2.238,93","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,MAR,2027,"2.895,40","7,93","44.286,69","121,33","44.286,69","121,33","47.182,09","129,27","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,TERRA,2027,"287.503,88","787,68","1.035.707,68","2.837,56","1.030.530,27","2.823,37","1.323.211,56","3.625,24","934.247,60","2.559,58","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,MAR,2028,"2.926,51","8,00","45.191,32","123,47","45.191,32","123,47","48.117,84","131,47","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,TERRA,2028,"290.650,29","794,13","1.026.184,39","2.803,78","1.021.006,37","2.789,63","1.316.834,68","3.597,91","1.008.477,32","2.755,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,MAR,2029,"5.314,26","14,56","83.581,40","228,99","83.581,40","228,99","88.895,66","243,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Alagoas,TERRA,2029,"263.212,16","721,13","989.589,72","2.711,20","984.556,08","2.697,41","1.252.801,88","3.432,33","1.058.832,94","2.900,91","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Amazonas,TERRA,2025,"12.775,00","35,00","255.500,00","700,00","255.500,00","700,00","268.275,00","735,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1.640,52","4,49"
Amazonas,TERRA,2026,"12.775,00","35,00","255.500,00","700,00","255.500,00","700,00","268.275,00","735,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Amazonas,TERRA,2027,"54.749,99","150,00","1.094.999,96","3.000,00","1.094.999,96","3.000,00","1.149.749,95","3.150,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Amazonas,TERRA,2028,"54.899,99","150,00","1.097.999,83","3.000,00","1.097.999,83","3.000,00","1.152.899,81","3.150,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Amazonas,TERRA,2029,"163.503,11","447,95","1.198.203,43","3.282,75","1.198.203,43","3.282,75","1.361.706,54","3.730,70","0,00","0,00","92.997,24","254,79","7,76","92.997,24","254,79","7,76","0,00","0,00"
Barreirinhas,TERRA,2025,"1.528,01","4,19","934,73","2,56","934,73","2,56","2.462,74","6,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","934,73","2,56"
Barreirinhas,TERRA,2026,"1.189,54","3,26","723,69","1,98","723,69","1,98","1.913,24","5,24","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Barreirinhas,TERRA,2027,"936,30","2,57","548,91","1,50","548,91","1,50","1.485,21","4,07","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Barreirinhas,TERRA,2028,"788,65","2,15","464,19","1,27","464,19","1,27","1.252,84","3,42","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Barreirinhas,TERRA,2029,"665,38","1,82","393,10","1,08","393,10","1,08","1.058,48","2,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Camamu,MAR,2025,"8.321,53","22,80","594.099,88","1.627,67","591.782,89","1.621,32","602.421,41","1.650,47","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","9.411,45","25,78"
Camamu,TERRA,2025,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Camamu,MAR,2026,"11.019,22","30,19","784.249,50","2.148,63","781.190,93","2.140,25","795.268,72","2.178,82","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Camamu,TERRA,2026,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Camamu,MAR,2027,"8.803,43","24,12","623.769,67","1.708,96","621.336,97","1.702,29","632.573,10","1.733,08","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Camamu,TERRA,2027,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Camamu,MAR,2028,"7.103,16","19,41","497.875,20","1.360,31","495.933,48","1.355,01","504.978,36","1.379,72","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Camamu,TERRA,2028,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Camamu,MAR,2029,"5.771,88","15,81","400.725,99","1.097,88","399.163,16","1.093,60","406.497,87","1.113,69","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Camamu,TERRA,2029,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Campos,MAR,2025,"48.211.432,41","132.086,12","5.228.491,34","14.324,63","5.122.960,65","14.035,51","53.439.923,75","146.410,75","92.531.406,74","253.510,70","0,00","0,00","0,00","0,00","0,00","0,00","494.425,14","1.354,59"
Campos,MAR,2026,"58.358.889,93","159.887,37","7.393.862,45","20.257,16","7.240.732,18","19.837,62","65.752.752,38","180.144,53","122.402.641,20","335.349,70","3.864,83","10,59","0,05","3.864,83","10,59","0,05","0,00","0,00"
Campos,MAR,2027,"58.666.409,96","160.729,89","7.079.210,76","19.395,10","6.938.789,37","19.010,38","65.745.620,72","180.124,99","138.316.874,11","378.950,34","18.000,00","49,32","0,25","18.000,00","49,32","0,26","0,00","0,00"
Campos,MAR,2028,"56.220.360,56","153.607,54","5.797.589,98","15.840,41","5.679.950,29","15.518,99","62.017.950,54","169.447,95","141.972.032,33","387.901,73","17.237,34","47,10","0,30","17.237,34","47,10","0,30","0,00","0,00"
Campos,MAR,2029,"48.988.601,92","134.215,35","4.916.501,21","13.469,87","4.821.613,13","13.209,90","53.905.103,13","147.685,21","137.893.972,51","377.791,71","15.339,21","42,03","0,31","15.339,21","42,03","0,32","0,00","0,00"
Ceará,MAR,2025,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Ceará,MAR,2026,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Ceará,MAR,2027,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Ceará,MAR,2028,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Ceará,MAR,2029,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Cumuruxatiba,MAR,2025,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Cumuruxatiba,MAR,2026,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Cumuruxatiba,MAR,2027,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Cumuruxatiba,MAR,2028,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Cumuruxatiba,MAR,2029,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Espírito Santo,MAR,2025,"418.948,76","1.147,80","173.699,73","475,89","173.466,42","475,25","592.648,49","1.623,69","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8.074,06","22,12"
Espírito Santo,TERRA,2025,"548.401,70","1.502,47","71.792,87","196,69","71.792,87","196,69","620.194,58","1.699,16","3.171.156,40","8.688,10","0,00","0,00","0,00","0,00","0,00","0,00","11.031,38","30,22"
Espírito Santo,MAR,2026,"408.116,85","1.118,13","215.134,00","589,41","214.913,32","588,80","623.250,86","1.707,54","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Espírito Santo,TERRA,2026,"587.837,97","1.610,51","120.482,39","330,09","120.482,39","330,09","708.320,36","1.940,60","3.478.414,04","9.529,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Espírito Santo,MAR,2027,"381.674,72","1.045,68","244.565,68","670,04","244.361,15","669,48","626.240,40","1.715,73","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Espírito Santo,TERRA,2027,"619.217,30","1.696,49","124.625,82","341,44","124.625,82","341,44","743.843,11","2.037,93","3.799.414,69","10.409,36","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Espírito Santo,MAR,2028,"573.118,36","1.565,90","730.478,96","1.995,84","729.661,57","1.993,61","1.303.597,32","3.561,74","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Espírito Santo,TERRA,2028,"628.287,91","1.716,63","89.413,07","244,30","89.413,07","244,30","717.700,98","1.960,93","4.062.573,14","11.099,93","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Espírito Santo,MAR,2029,"736.055,82","2.016,59","962.760,06","2.637,70","960.445,42","2.631,36","1.698.815,88","4.654,29","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Espírito Santo,TERRA,2029,"577.504,75","1.582,20","69.056,74","189,20","69.056,74","189,20","646.561,49","1.771,40","3.925.024,82","10.753,49","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Mucuri,TERRA,2025,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Mucuri,TERRA,2026,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Mucuri,TERRA,2027,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Mucuri,TERRA,2028,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Mucuri,TERRA,2029,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Paraná,TERRA,2025,"144.845,00","396,84","47.127,00","129,12","47.127,00","129,12","191.972,00","525,95","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","548,33","1,50"
Paraná,TERRA,2026,"158.760,00","434,96","50.734,00","139,00","50.734,00","139,00","209.494,00","573,96","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Paraná,TERRA,2027,"144.845,00","396,84","47.127,00","129,12","47.127,00","129,12","191.972,00","525,95","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Paraná,TERRA,2028,"158.760,00","433,77","50.734,00","138,62","50.734,00","138,62","209.494,00","572,39","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Paraná,TERRA,2029,"144.845,00","396,84","47.127,00","129,12","47.127,00","129,12","191.972,00","525,95","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Parnaíba,TERRA,2025,"7.980,65","21,86","1.277.804,51","3.500,83","1.277.804,51","3.500,83","1.285.785,17","3.522,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.081,14","11,18"
Parnaíba,TERRA,2026,"7.840,30","21,48","1.369.993,53","3.753,41","1.369.993,53","3.753,41","1.377.833,83","3.774,89","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Parnaíba,TERRA,2027,"11.728,39","32,13","1.283.115,17","3.515,38","1.283.115,17","3.515,38","1.294.843,57","3.547,52","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Parnaíba,TERRA,2028,"16.519,32","45,13","1.791.874,80","4.895,83","1.791.874,80","4.895,83","1.808.394,12","4.940,97","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Parnaíba,TERRA,2029,"22.759,49","62,35","1.828.198,80","5.008,76","1.828.198,80","5.008,76","1.850.958,29","5.071,12","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Potiguar,MAR,2025,"11.431,10","31,32","41.737,30","114,35","41.737,30","114,35","53.168,41","145,67","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Potiguar,TERRA,2025,"1.855.166,81","5.082,65","365.427,07","1.001,17","364.898,73","999,72","2.220.593,88","6.083,82","19.558.332,96","53.584,47","0,00","0,00","0,00","0,00","0,00","0,00","22.110,65","60,58"
Potiguar,MAR,2026,"30.592,09","83,81","9.587,27","26,27","9.587,27","26,27","40.179,36","110,08","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Potiguar,TERRA,2026,"2.040.640,58","5.590,80","376.648,42","1.031,91","376.107,08","1.030,43","2.417.289,00","6.622,71","25.176.897,81","68.977,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Potiguar,MAR,2027,"77.537,43","212,43","16.676,62","45,69","16.676,62","45,69","94.214,05","258,12","1.223.075,84","3.350,89","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Potiguar,TERRA,2027,"2.241.849,14","6.142,05","362.664,85","993,60","362.146,44","992,18","2.604.513,99","7.135,65","28.146.080,88","77.112,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Potiguar,MAR,2028,"162.333,89","443,54","27.926,34","76,30","27.926,34","76,30","190.260,23","519,84","3.074.092,21","8.399,16","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Potiguar,TERRA,2028,"2.192.383,34","5.990,12","326.558,23","892,24","326.076,68","890,92","2.518.941,58","6.882,35","31.610.774,27","86.368,24","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Potiguar,MAR,2029,"177.596,05","486,56","22.891,01","62,72","22.891,01","62,72","200.487,05","549,28","3.294.437,16","9.025,86","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Potiguar,TERRA,2029,"2.186.787,48","5.991,20","289.253,04","792,47","288.816,10","791,28","2.476.040,52","6.783,67","35.565.055,58","97.438,51","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Recôncavo,TERRA,2025,"1.332.605,42","3.650,97","1.169.527,95","3.204,19","1.166.448,19","3.195,75","2.502.133,37","6.855,16","27.465.725,23","75.248,56","88.359,04","242,08","7,56","88.359,04","242,08","7,58","35.893,37","98,34"
Recôncavo,TERRA,2026,"1.460.474,93","4.001,30","1.172.212,78","3.211,54","1.169.034,59","3.202,83","2.632.687,71","7.212,84","26.403.618,85","72.338,68","9.842,96","26,97","0,84","9.842,96","26,97","0,84","0,00","0,00"
Recôncavo,TERRA,2027,"1.684.828,31","4.615,97","1.204.695,50","3.300,54","1.200.899,32","3.290,14","2.889.523,81","7.916,50","28.540.144,54","78.192,18","8.175,17","22,40","0,68","8.175,17","22,40","0,68","0,00","0,00"
Recôncavo,TERRA,2028,"1.788.137,12","4.885,62","1.191.410,03","3.255,22","1.186.857,64","3.242,78","2.979.547,15","8.140,84","31.657.855,74","86.496,87","6.980,67","19,07","0,59","6.980,67","19,07","0,59","0,00","0,00"
Recôncavo,TERRA,2029,"1.855.691,98","5.084,09","1.106.327,27","3.031,03","1.101.623,28","3.018,15","2.962.019,25","8.115,12","32.699.100,15","89.586,58","6.162,09","16,88","0,56","6.162,09","16,88","0,56","0,00","0,00"
Santos,MAR,2025,"163.172.486,04","447.047,91","51.667.461,34","141.554,69","42.458.939,52","116.325,86","214.839.947,38","588.602,60","149.825.443,20","410.480,67","32.773.809,53","89.791,26","63,43","23.900.448,23","65.480,68","56,29","2.212.374,81","6.061,30"
Santos,MAR,2026,"180.631.365,08","494.880,45","59.172.986,82","162.117,77","49.170.917,03","134.714,84","239.804.351,90","656.998,22","282.226.829,85","773.224,19","38.512.107,21","105.512,62","65,08","28.625.048,27","78.424,79","58,22","0,00","0,00"
